date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2014-10-20,-1.474451467088038,-1.0791703144991178,-1.0920377912534611,-1.1747151637808884,train
2014-10-21,-1.5351840139177786,-1.1812628693736424,-1.166502908742782,-1.2746794438238278,train
2014-10-22,-1.6345379303037697,-1.0951380608016,-1.093117700001183,-1.1706753575656552,train
2014-10-23,-1.5939169347840128,-1.194795822661753,-1.2089123757411169,-1.1998475967497488,train
2014-10-24,-1.630207458616925,-1.2832780482094561,-1.3012159895739972,-1.2657544311766218,train
2014-10-27,-1.3328484974409107,-1.4440089675995729,-1.4637272694402925,-1.3950878218139229,train
2014-10-28,-1.2282845337838242,-1.4921767924190052,-1.4648656932412092,-1.394983129675799,train
2014-10-29,-1.2521578865229739,-1.4640483906946296,-1.4508334693629257,-1.3506465422950438,train
2014-10-30,-1.3116655312130818,-1.3749397756169917,-1.3765050899661266,-1.3466450286870273,train
2014-10-31,-1.05967224079102,-1.4400040098801605,-1.4558374392540125,-1.2879627657093697,train
2014-11-03,-1.113755324855427,-1.213663582246396,-1.2087941298031948,-0.932417338382891,train
2014-11-04,-1.1665667689047023,-1.2298820563069894,-1.2094379475596482,-0.9877525715673332,train
2014-11-05,-1.1473215193237611,-1.332066809941969,-1.3262913637556488,-1.1304163776223086,train
2014-11-06,-1.0978319419936908,-1.3086069102495266,-1.321594092692066,-1.1426187952535767,train
2014-11-07,-1.4017613128795419,-1.0764834279796542,-1.0740806686499529,-1.0569150097170164,train
2014-11-10,-1.373688474535852,-1.1616061702444418,-1.1648360309627273,-1.2494134591510118,train
2014-11-11,-1.3272099184071464,-1.2995926050349331,-1.2782463940702977,-1.348850974085189,train
2014-11-12,-1.3474529147132848,-1.2878617502366143,-1.2820570032554357,-1.3281452923843948,train
2014-11-13,-1.4227372896631283,-1.1940439107681236,-1.2037002178267755,-1.2123551014583316,train
2014-11-14,-1.2721537724190053,-1.3949655239974141,-1.4219407180501251,-1.3825707976423907,train
2014-11-17,-1.3537156255749352,-1.2699379632888963,-1.2678774278190972,-1.267808344579337,train
2014-11-18,-1.3958079819242322,-1.3330878916056355,-1.3111367726732273,-1.3543415159954306,train
2014-11-19,-1.3768765387246182,-1.4165159360923776,-1.4094578647861165,-1.4595377160324348,train
2014-11-20,-1.348530011249036,-1.4093536675462126,-1.4223686370822306,-1.4943156052422273,train
2014-11-21,-1.538025178406028,-1.2675214499050638,-1.2764616816019039,-1.3674300442626712,train
2014-11-24,-1.6603670901170289,-1.3125860102535316,-1.317794753818204,-1.4041664792375723,train
2014-11-25,-1.6156820944368808,-1.3972664923971978,-1.3739044889178298,-1.4540038877788533,train
2014-11-26,-1.6720853171960801,-1.389254520279294,-1.3812516778850694,-1.423057062751601,train
2014-11-27,-1.7344679683615323,-1.3260340520131144,-1.3373202752065494,-1.305585369822391,train
2014-11-28,-1.2149236326014536,-1.497426453948,-1.5275742282749918,-1.3391486774243868,train
2014-12-01,-1.036731759236475,-1.506578882437642,-1.5173639903118887,-1.2716586607683737,train
